,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
270,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
271,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
272,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
273,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
274,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
275,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
276,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
277,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
278,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
279,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
280,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
281,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
282,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
283,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
284,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
285,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
286,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
287,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
288,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
289,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
290,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
291,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
292,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
293,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
294,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
295,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
296,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
297,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
298,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
299,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
300,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
301,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
302,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
303,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
304,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
305,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
306,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
307,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
308,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
309,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
310,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
311,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
312,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
313,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
314,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
315,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
316,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
317,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
318,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
319,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
320,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
321,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
322,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
323,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
324,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
325,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
326,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
327,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
328,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
329,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
330,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
331,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
332,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
